Code|Name|Unnamed: 2|Latin Name|From|Group|Type|Description
AP062|Koya||||Sereal|Olahan/Produk|
AP063|Koya mirasa||||Sereal|Olahan/Produk|
AP064|Koyabu||||Sereal|Olahan/Produk|
AP065|Kue ali||||Sereal|Olahan/Produk|
AP066|Kue bangen||||Sereal|Olahan/Produk|
AP067|Kue gelang||||Sereal|Olahan/Produk|
AP068|Kue jahe||||Sereal|Olahan/Produk|
AP069|Kue kelapa||||Sereal|Olahan/Produk|
AP070|Kue koa||||Sereal|Olahan/Produk|
AP071|Kue ku temu||||Sereal|Olahan/Produk|
AP072|Kue lumpur||||Sereal|Olahan/Produk|
AP073|Kue pelita||||Sereal|Olahan/Produk|
AP074|Kue putu cangkir||||Sereal|Olahan/Produk|
AP075|Kue sus||||Sereal|Olahan/Produk|
AP076|Kue thipan||||Sereal|Olahan/Produk|
AP077|Laksa/Putu mayang||||Sereal|Olahan/Produk|
AP078|Lapis legit||||Sereal|Olahan/Produk|
AP079|Lupis ketan||||Sereal|Olahan/Produk|
AP080|Manan samin||||Sereal|Olahan/Produk|
AP081|Martabak india||||Sereal|Olahan/Produk|
AP082|Martabak mesir||||Sereal|Olahan/Produk|
AP083|Masekat||||Sereal|Olahan/Produk|
AP084|Mie aceh rebus||||Sereal|Olahan/Produk|
AP085|Mie ayam||||Sereal|Olahan/Produk|
AP086|Mie bakso||||Sereal|Olahan/Produk|
AP087|Mie celon||||Sereal|Olahan/Produk|
AP088|Mie pangsit basah||||Sereal|Olahan/Produk|
AP089|Nasi gemuk||||Sereal|Olahan/Produk|
AP090|Nasi gurih||||Sereal|Olahan/Produk|
AP091|Nasi minyak||||Sereal|Olahan/Produk|
AP092|Nasi rames||||Sereal|Olahan/Produk|
AP093|Nopia spesial||||Sereal|Olahan/Produk|
AP094|Onde-onde||||Sereal|Olahan/Produk|
AP095|Padamaran||||Sereal|Olahan/Produk|
AP096|Pastel||||Sereal|Olahan/Produk|
AP097|Pulut||||Sereal|Olahan/Produk|
AP098|Pundut nasi||||Sereal|Olahan/Produk|
AP100|Putri selat||||Sereal|Olahan/Produk|
AP101|Putu sopa||||Sereal|Olahan/Produk|
AP102|Renggi goreng||||Sereal|Olahan/Produk|
AP103|Roti boong||||Sereal|Olahan/Produk|
AP104|Roti kulit coklat tua||||Sereal|Olahan/Produk|
AP105|Sarimuka||||Sereal|Olahan/Produk|
AP106|Spageti||||Sereal|Olahan/Produk|
AP107|Srikaya ketan||||Sereal|Olahan/Produk|
AP108|Sunduk lawang||||Sereal|Olahan/Produk|
AP109|Suwir-suwir||||Sereal|Olahan/Produk|
AP110|Tipa-tipa||||Sereal|Olahan/Produk|
AP111|Kue wajit||||Sereal|Olahan/Produk|
AP112|Widaran||||Sereal|Olahan/Produk|
AP113|Wingko babat||||Sereal|Olahan/Produk|
AP114|Yangko||||Sereal|Olahan/Produk|
AP99|Putri hijau||||Sereal|Olahan/Produk|
AR001|Beras giling mentah||||Sereal|Mentah|
AR002|Beras giling varian pelita mentah||||Sereal|Mentah|
AR003|Beras giling varian rojolele mentah||||Sereal|Mentah|
AR004|Beras hitam mentah||||Sereal|Mentah|
AR005|Nasi jagung kuning kering mentah||||Sereal|Mentah|
AR006|Nasi jagung putih kering mentah||||Sereal|Mentah|
AR007|Tepung ketan hitam mentah||||Sereal|Mentah|
AR008|Tepung ketan putih mentah||||Sereal|Mentah|
AR009|Padi ladang mentah||||Sereal|Mentah|
AR010|Beras menir mentah||||Sereal|Mentah|
AR011|Beras pratanak||||Sereal|Mentah|
AR012|Tepung beras mentah||||Sereal|Mentah|
AR013|Tepung beras merah mentah||||Sereal|Mentah|
AR014|Sorgum mentah||||Sereal|Mentah|
AR015|Jagung putren kuning mentah||||Sereal|Mentah|
AR016|Jagung pipil kuning kering mentah||||Sereal|Mentah|
AR017|Jagung pipil varian harapan kering||||Sereal|Mentah|
AR018|Jagung pipil varian metro kering||||Sereal|Mentah|
AR019|Jelai mentah||||Sereal|Mentah|
AR020|Jali mentah||||Sereal|Mentah|
AR021|Jampang huma mentah||||Sereal|Mentah|
BP001|Ubi kelapa bakar||||Akar dan Umbi Bertepung|Olahan/Produk|
BP002|Ubi kelapa kukus||||Akar dan Umbi Bertepung|Olahan/Produk|
BP003|Ubi tali rebus||||Akar dan Umbi Bertepung|Olahan/Produk|
BP004|Talas belitung kukus||||Akar dan Umbi Bertepung|Olahan/Produk|
BP005|Talas bentul kukus||||Akar dan Umbi Bertepung|Olahan/Produk|
BP006|Ubi gadung kukus||||Akar dan Umbi Bertepung|Olahan/Produk|
BP007|Ganyong rebus||||Akar dan Umbi Bertepung|Olahan/Produk|
BP008|Singkong kukus||||Akar dan Umbi Bertepung|Olahan/Produk|
BP009|Suweg kukus||||Akar dan Umbi Bertepung|Olahan/Produk|
BP010|Talas kukus||||Akar dan Umbi Bertepung|Olahan/Produk|
BP011|Ubi jalar kuning kukus||||Akar dan Umbi Bertepung|Olahan/Produk|
BP012|Ubi cina kukus||||Akar dan Umbi Bertepung|Olahan/Produk|
BP013|Bagea kelapa gurih||||Akar dan Umbi Bertepung|Olahan/Produk|
BP014|Bagea kelapa manis||||Akar dan Umbi Bertepung|Olahan/Produk|
BP015|Bagea kenari gurih||||Akar dan Umbi Bertepung|Olahan/Produk|
BP016|Bagea kenari manis||||Akar dan Umbi Bertepung|Olahan/Produk|
BP017|Bagea kualitas 1||||Akar dan Umbi Bertepung|Olahan/Produk|
BP018|Bagea kualitas 2||||Akar dan Umbi Bertepung|Olahan/Produk|
BP019|"Nasi ""Cerdas"""||||Akar dan Umbi Bertepung|Olahan/Produk|
BP020|Nasi ganyong||||Akar dan Umbi Bertepung|Olahan/Produk|
BP021|Nasi siger||||Akar dan Umbi Bertepung|Olahan/Produk|
BP022|Biji nangka/salak||||Akar dan Umbi Bertepung|Olahan/Produk|
BP023|Bubur sagu||||Akar dan Umbi Bertepung|Olahan/Produk|
BP024|Stik singkong||||Akar dan Umbi Bertepung|Olahan/Produk|
BP025|Ceriping getuk singkong||||Akar dan Umbi Bertepung|Olahan/Produk|
BP026|Gatot||||Akar dan Umbi Bertepung|Olahan/Produk|
BP027|Geblek||||Akar dan Umbi Bertepung|Olahan/Produk|
BP028|Getuk goreng||||Akar dan Umbi Bertepung|Olahan/Produk|
BP029|Getuk singkong||||Akar dan Umbi Bertepung|Olahan/Produk|
BP030|Gurandil||||Akar dan Umbi Bertepung|Olahan/Produk|
BP031|Kabuto||||Akar dan Umbi Bertepung|Olahan/Produk|
BP032|Kapurung||||Akar dan Umbi Bertepung|Olahan/Produk|
BP033|Kecimpring singkong goreng||||Akar dan Umbi Bertepung|Olahan/Produk|
BP034|Keremes||||Akar dan Umbi Bertepung|Olahan/Produk|
BP035|Keripik gadung||||Akar dan Umbi Bertepung|Olahan/Produk|
BP036|Keripik kentang||||Akar dan Umbi Bertepung|Olahan/Produk|
BP037|Keripik singkong||||Akar dan Umbi Bertepung|Olahan/Produk|
BP038|Keripik singkong berbumbu||||Akar dan Umbi Bertepung|Olahan/Produk|
BP039|Keripik ubi jalar||||Akar dan Umbi Bertepung|Olahan/Produk|
BP040|Keripik cumi goreng||||Akar dan Umbi Bertepung|Olahan/Produk|
BP041|Kerupuk kemplang (ikan) mentah||||Akar dan Umbi Bertepung|Olahan/Produk|
BP042|Kerupuk kemplang goreng||||Akar dan Umbi Bertepung|Olahan/Produk|
BP043|Kerupuk kemplang panggang||||Akar dan Umbi Bertepung|Olahan/Produk|
BP044|Keripik mie kuning goreng||||Akar dan Umbi Bertepung|Olahan/Produk|
BP045|Kerupuk udang goreng||||Akar dan Umbi Bertepung|Olahan/Produk|
BP046|Kue bangket||||Akar dan Umbi Bertepung|Olahan/Produk|
BP047|Kue putu singkong||||Akar dan Umbi Bertepung|Olahan/Produk|
BP048|Lanting getuk||||Akar dan Umbi Bertepung|Olahan/Produk|
BP049|Mie golosor||||Akar dan Umbi Bertepung|Olahan/Produk|
BP050|Mie bendo||||Akar dan Umbi Bertepung|Olahan/Produk|
BP051|Mie sagu||||Akar dan Umbi Bertepung|Olahan/Produk|
BP052|Ongol-ongol sagu||||Akar dan Umbi Bertepung|Olahan/Produk|
BP053|Oyek||||Akar dan Umbi Bertepung|Olahan/Produk|
BP054|Papeda||||Akar dan Umbi Bertepung|Olahan/Produk|
BP055|Rasbi (Nasi ubi jalar)||||Akar dan Umbi Bertepung|Olahan/Produk|
BP056|Rasi (Nasi singkong)||||Akar dan Umbi Bertepung|Olahan/Produk|
BP057|Sagu forno||||Akar dan Umbi Bertepung|Olahan/Produk|
BP058|Sagu lemak (Kue Sagon)||||Akar dan Umbi Bertepung|Olahan/Produk|
BP059|Sagu manis||||Akar dan Umbi Bertepung|Olahan/Produk|
BP060|Sagu rendang||||Akar dan Umbi Bertepung|Olahan/Produk|
BP061|Sinole sagu||||Akar dan Umbi Bertepung|Olahan/Produk|
BP062|Serimping talas dari Kebumen||||Akar dan Umbi Bertepung|Olahan/Produk|
BP063|Tapai singkong||||Akar dan Umbi Bertepung|Olahan/Produk|
BP064|Tepung garut||||Akar dan Umbi Bertepung|Olahan/Produk|
BP065|Tepung ganyong||||Akar dan Umbi Bertepung|Olahan/Produk|
BP066|Tepung gaplek||||Akar dan Umbi Bertepung|Olahan/Produk|
BP067|Tepung kentang kering||||Akar dan Umbi Bertepung|Olahan/Produk|
BP068|Tepung mocaf||||Akar dan Umbi Bertepung|Olahan/Produk|
BP069|Tepung talas kimpul||||Akar dan Umbi Bertepung|Olahan/Produk|
BP070|Tepung tapioka||||Akar dan Umbi Bertepung|Olahan/Produk|
BP071|Tepung talas beneng||||Akar dan Umbi Bertepung|Olahan/Produk|
BP072|Tepung ubi ungu||||Akar dan Umbi Bertepung|Olahan/Produk|
BP073|Tiwul||||Akar dan Umbi Bertepung|Olahan/Produk|
BP074|Tiwul instan||||Akar dan Umbi Bertepung|Olahan/Produk|
BP075|Ubi Cilembu||||Akar dan Umbi Bertepung|Olahan/Produk|
BP076|Uli ubi||||Akar dan Umbi Bertepung|Olahan/Produk|
BR001|Garut segar||||Akar dan Umbi Bertepung|Mentah|
BR002|Ubi gembili segar||||Akar dan Umbi Bertepung|Mentah|
BR003|Umbi ubi kelapa segar||||Akar dan Umbi Bertepung|Mentah|
BR004|Talas belitung segar||||Akar dan Umbi Bertepung|Mentah|
BR005|Bengkuang segar||||Akar dan Umbi Bertepung|Mentah|
BR006|Talas bentul (komba) segar||||Akar dan Umbi Bertepung|Mentah|
BR007|Gadung kering||||Akar dan Umbi Bertepung|Mentah|
BR008|Ubi gadung segar||||Akar dan Umbi Bertepung|Mentah|
BR009|Ganyong segar||||Akar dan Umbi Bertepung|Mentah|
BR010|Umbi gembili segar||||Akar dan Umbi Bertepung|Mentah|
BR011|Umbi hofa/liar segar||||Akar dan Umbi Bertepung|Mentah|
BR012|Umbi kaburan segar||||Akar dan Umbi Bertepung|Mentah|
BR013|Kentang segar||||Akar dan Umbi Bertepung|Mentah|
BR014|Kentang hitam shetland segar||||Akar dan Umbi Bertepung|Mentah|
BR015|Umbi keribang segar||||Akar dan Umbi Bertepung|Mentah|
BR016|Singkong segar||||Akar dan Umbi Bertepung|Mentah|
BR017|Umbi lepok/teki||||Akar dan Umbi Bertepung|Mentah|
BR018|Sagu aren kering||||Akar dan Umbi Bertepung|Mentah|
BR019|Sagu aren segar||||Akar dan Umbi Bertepung|Mentah|
BR020|Sagu kasbi segar||||Akar dan Umbi Bertepung|Mentah|
BR021|Sagu lempeng||||Akar dan Umbi Bertepung|Mentah|
BR022|Sagu singkong kering||||Akar dan Umbi Bertepung|Mentah|
BR023|Talas kimpul segar||||Akar dan Umbi Bertepung|Mentah|
BR024|Suweg segar||||Akar dan Umbi Bertepung|Mentah|
BR025|Talas segar||||Akar dan Umbi Bertepung|Mentah|
BR026|Talas pontianak segar||||Akar dan Umbi Bertepung|Mentah|
BR027|Talas viqueque segar||||Akar dan Umbi Bertepung|Mentah|
BR028|Ubi jalar kuning segar||||Akar dan Umbi Bertepung|Mentah|
BR029|Ubi jalar segar||||Akar dan Umbi Bertepung|Mentah|
BR030|Ubi jalar merah segar||||Akar dan Umbi Bertepung|Mentah|
BR031|Ubi jalar putih segar||||Akar dan Umbi Bertepung|Mentah|
BR032|Ubi cina||||Akar dan Umbi Bertepung|Mentah|
BR033|Ubi ungu segar||||Akar dan Umbi Bertepung|Mentah|
CP001|Kecipir rebus||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP002|Kacang bogor goreng||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP003|Kacang bogor rebus||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP004|Kacang gude rebus||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP005|Kacang hijau rebus||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP006|Kedelai goreng||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP007|Kedelai rebus||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP008|Kacang merah kering rebus||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP009|Kacang merah segar rebus||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP010|Kacang mete goreng||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP011|Kacang tanah rebus dengan kulit||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP012|Kacang tanah goreng||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP013|Kacang tanah rebus||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP014|Kacang tunggak rebus||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP015|Ampas kacang hijau||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP016|Ampas tahu mentah||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP017|Ampas tahu kukus||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP018|Ampas tahu kering||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP019|Pepes oncom ampas tahu||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP020|Bungkil biji karet||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP021|Bungkil kacang tanah||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP022|Bungkil kelapa||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP023|Dodol banjarmasin||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP024|Emping melinjo||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP025|Emping koro||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP026|Enting-enting gepuk merek hello kity||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP027|Enting-enting gepuk kacang||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP028|Enting-enting wijen||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP029|Geplak||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP030|Geplak jahe||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP031|Kacang atom||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP032|Kacang goyang||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP033|Kacang negara||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP034|Kacang sukro||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP035|Kacang tanah sari||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP036|Selai kacang||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP037|Kembang tahu||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP038|Kembang tahu kukus||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP039|Keripik oncom||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP040|Keripik tempe||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP041|Keripik tempe merek abadi ukuran besar||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP042|Keripik tempe merek abadi original||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP043|Keripik tempe merek abadi ukuran sedang||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP044|Keripik tempe merek abadi dengan telur||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP045|Keripik tempe merek abadi kualitas utama||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP046|Kwaci (biji bunga matahari kering)||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP047|Emping melinjo tebal goreng manis||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP048|Emping melinjo tebal goreng gurih||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP049|Emping melinjo tipis goreng||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP050|Tahu bulan||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP051|Oncom||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP052|Oncom ampas kacang hijau||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP053|Oncom kacang hijau + singkong||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP054|Pepes oncom kacang||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP055|Rempeyek kacang tanah||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP056|Rempeyek kacang tunggak||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP057|Rempeyek kacang uci||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP058|Sayur lebui||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP059|Susu kedelai bubuk||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP060|Susu kedelai||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP061|Tahu mentah||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP062|Tahu goreng||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP063|Tahu telur||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP064|Takwa||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP065|Tauco||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP066|Tauco merek beruang (kue)||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP067|Tauco merek DAS (kue)||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP068|Tauco merek meong||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP069|Tauji merek singa||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP070|Tempe bongkrek||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP071|Tempe gembus P3G||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP072|Tempe gembus yogya||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP073|Tempe koro benguk||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP074|Tempe kecipir||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP075|Tempe kedelai + jagung||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP076|Tempe kedelai murni goreng||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP077|Tempe kedelai murni mentah||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP078|Tempe koro benguk||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP079|Tempe lamtoro||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP080|Tempe lamtoro varian gung dengan kulit||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP081|Tempe lamtoro varian gung tanpa kulit||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP082|Tempe pasaran||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP083|Tempe pasaran goreng||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP084|Tepung hunkwe||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP085|Tepung jalejo||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CP086|Tepung kedelai||||Biji-bijian dan Kacang-kacangan|Olahan/Produk|
CR001|Kacang arab kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR002|Koro benguk kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR003|Kecipir kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR004|Biji jarak segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR005|Kacang bogor kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR006|Kacang bogor segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR007|Biji kacang uci kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR008|Kacang polong segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR009|Kacang galing segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR010|Biji kacang gude kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR011|Biji kacang gude segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR012|Kacang hijau varian bakti kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR013|Kacang hijau varian siwalik kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR014|Kacang hijau kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR015|Kedelai hitam kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR016|Kapri segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR017|Kedelai kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR018|Kedelai segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR019|Kacang kincai kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR020|Koro segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR021|Lentil kuning kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR022|Kacang gude kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR023|Kacang mentega kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR024|Kacang merah (Banda) kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR025|Kacang merah tua kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR026|Kacang merah kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR027|Kacang merah segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR028|Kacang mete segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR029|Biji kacang panjang kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR030|Biji kacang tanah||||Biji-bijian dan Kacang-kacangan|Mentah|
CR031|Biji kacang tanah tanpa kulit ari||||Biji-bijian dan Kacang-kacangan|Mentah|
CR032|Kacang tanah kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR033|Kacang tunggak kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR034|Kacang gude kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR035|Kacang uci kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR036|Kacang urei kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR037|Kacang kenari (Banda) kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR038|Kacang kenari kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR039|Polong koro segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR040|Koro andong kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR041|Biji koro benguk kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR042|Biji koro kerupuk segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR043|Biji koro loke segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR044|Koro roay kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR045|Biji koro wedus kering||||Biji-bijian dan Kacang-kacangan|Mentah|
CR046|Biji lamtoro muda segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR047|Biji lamtoro tua segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR048|Lamtoro varian gung tanpa kulit||||Biji-bijian dan Kacang-kacangan|Mentah|
CR049|Lamtoro varian lokal dengan kulit||||Biji-bijian dan Kacang-kacangan|Mentah|
CR050|Biji nangka segar||||Biji-bijian dan Kacang-kacangan|Mentah|
CR051|Saga merah kupas mentah||||Biji-bijian dan Kacang-kacangan|Mentah|
CR052|Wijen mentah||||Biji-bijian dan Kacang-kacangan|Mentah|
