Code|Nutrient/Ingridient|Value (per 100gr)
AP009|Natrium (Na)|2 mg
AP009|Kalium (K)|30.4 mg
AP009|Tembaga (Cu)|0.10 mg
AP009|Seng (Zn)|0.3 mg
AP009|Beta-Karoten (Carotenes)|0 mcg
AP009|Karoten Total (Re)|0 mcg
AP009|Thiamin (Vit. B1)|0.30 mg
AP009|Riboflavin (Vit. B2)|0.02 mg
AP009|Niasin (Niacin)|0.1 mg
AP009|Vitamin C (Vit. C)|0 mg
AP010|Air (Water)|53.2 g
AP010|Energi (Energy)|142 Kal
AP010|Protein (Protein)|5.0 g
AP010|Lemak (Fat)|0.7 g
AP010|Karbohidrat (CHO)|30.3 g
AP010|Serat (Fibre)|0.8 g
AP010|Abu (ASH)|0.8 g
AP010|Kalsium (Ca)|5 mg
AP010|Fosfor (P)|105 mg
AP010|Besi (Fe)|0.8 mg
AP010|Natrium (Na)|5 mg
AP010|Kalium (K)|24.3 mg
AP010|Tembaga (Cu)|0.20 mg
AP010|Seng (Zn)|0.9 mg
AP010|Beta-Karoten (Carotenes)|145 mcg
AP010|Karoten Total (Re)|225 mcg
AP010|Thiamin (Vit. B1)|0.15 mg
AP010|Riboflavin (Vit. B2)|0.00 mg
AP010|Niasin (Niacin)|0.7 mg
AP010|Vitamin C (Vit. C)|0 mg
AP011|Air (Water)|12.0 g
AP011|Energi (Energy)|355 Kal
AP011|Protein (Protein)|9.2 g
AP011|Lemak (Fat)|3.9 g
AP011|Karbohidrat (CHO)|73.7 g
AP011|Serat (Fibre)|7.2 g
AP011|Abu (ASH)|1.2 g
AP011|Kalsium (Ca)|10 mg
AP011|Fosfor (P)|256 mg
AP011|Besi (Fe)|2.4 mg
AP011|Natrium (Na)|11 mg
AP011|Kalium (K)|24.4 mg
AP011|Tembaga (Cu)|0.23 mg
AP011|Seng (Zn)|1.7 mg
AP011|Beta-Karoten (Carotenes)|0 mcg
AP011|Karoten Total (Re)|510 mcg
AP011|Thiamin (Vit. B1)|0.38 mg
AP011|Riboflavin (Vit. B2)|0.02 mg
AP011|Niasin (Niacin)|0.3 mg
AP012|Air (Water)|63.7 g
AP012|Energi (Energy)|154 Kal
AP012|Protein (Protein)|3.8 g
AP012|Lemak (Fat)|3.5 g
AP012|Karbohidrat (CHO)|28.4 g
AP012|Serat (Fibre)|0.7 g
AP012|Abu (ASH)|0.6 g
AP012|Kalsium (Ca)|7 mg
AP012|Fosfor (P)|171 mg
AP012|Besi (Fe)|0.5 mg
AP012|Natrium (Na)|5 mg
AP012|Kalium (K)|56.4 mg
AP012|Tembaga (Cu)|0.10 mg
AP012|Seng (Zn)|4.4 mg
AP012|Beta-Karoten (Carotenes)|818 mcg
AP012|Karoten Total (Re)|234 mcg
AP012|Thiamin (Vit. B1)|0.08 mg
AP012|Riboflavin (Vit. B2)|0.10 mg
AP012|Niasin (Niacin)|1.7 mg
AP012|Vitamin C (Vit. C)|0 mg
AP013|Air (Water)|12.0 g
AP013|Energi (Energy)|355 Kal
AP013|Protein (Protein)|9.2 g
AP013|Lemak (Fat)|3.9 g
AP013|Karbohidrat (CHO)|73.7 g
AP013|Serat (Fibre)|7.2 g
AP013|Abu (ASH)|1.2 g
AP013|Kalsium (Ca)|10 mg
AP013|Fosfor (P)|256 mg
AP013|Besi (Fe)|2.4 mg
AP013|Natrium (Na)|11 mg
AP013|Kalium (K)|24.4 mg
AP013|Tembaga (Cu)|0.23 mg
AP013|Seng (Zn)|1.7 mg
AP013|Beta-Karoten (Carotenes)|0 mcg
AP013|Karoten Total (Re)|0 mcg
AP013|Thiamin (Vit. B1)|0.38 mg
AP013|Riboflavin (Vit. B2)|0.02 mg
AP013|Niasin (Niacin)|0.3 mg
AP014|Air (Water)|52.0 g
AP014|Energi (Energy)|212 Kal
AP014|Protein (Protein)|4.0 g
AP014|Lemak (Fat)|4.6 g
AP014|Karbohidrat (CHO)|38.6 g
AP014|Serat (Fibre)|0.2 g
AP014|Abu (ASH)|0.9 g
AP014|Kalsium (Ca)|8 mg
AP014|Fosfor (P)|46 mg
AP014|Besi (Fe)|1.0 mg
AP014|Retinol (Vit. A)|0 mcg
AP014|Beta-Karoten (Carotenes)|0 mcg
AP014|Karoten Total (Re)|0 mcg
AP014|Thiamin (Vit. B1)|0.07 mg
AP014|Niasin (Niacin)|0.2 mg
AP014|Vitamin C (Vit. C)|0 mg
AP015|Air (Water)|56.9 g
AP015|Energi (Energy)|181 Kal
AP015|Protein (Protein)|4.0 g
AP015|Lemak (Fat)|1.2 g
AP015|Karbohidrat (CHO)|37.3 g
AP015|Serat (Fibre)|0.3 g
AP015|Abu (ASH)|0.6 g
AP015|Kalsium (Ca)|9 mg
AP015|Fosfor (P)|144 mg
AP015|Besi (Fe)|1.7 mg
AP015|Natrium (Na)|9 mg
AP015|Kalium (K)|18.4 mg
AP015|Tembaga (Cu)|0.10 mg
AP015|Seng (Zn)|0.7 mg
AP015|Retinol (Vit. A)|0 mcg
AP015|Beta-Karoten (Carotenes)|0 mcg
AP015|Karoten Total (Re)|0 mcg
AP015|Thiamin (Vit. B1)|0.06 mg
AP015|Riboflavin (Vit. B2)|0.00 mg
AP015|Niasin (Niacin)|0.5 mg
AP015|Vitamin C (Vit. C)|0 mg
AP016|Air (Water)|50.2 g
AP016|Energi (Energy)|166 Kal
AP016|Protein (Protein)|3.8 g
AP016|Lemak (Fat)|1.0 g
AP016|Karbohidrat (CHO)|34.4 g
AP016|Serat (Fibre)|0.3 g
AP016|Abu (ASH)|0.6 g
AP016|Kalsium (Ca)|8 mg
AP016|Fosfor (P)|106 mg
AP016|Besi (Fe)|1.6 mg
AP016|Natrium (Na)|5 mg
AP016|Kalium (K)|12.0 mg
AP016|Karoten Total (Re)|0 mcg
AP016|Thiamin (Vit. B1)|0.02 mg
AP016|Vitamin C (Vit. C)|0 mg
AP017|Air (Water)|60.7 g
AP017|Energi (Energy)|163 Kal
AP017|Protein (Protein)|3.0 g
AP017|Lemak (Fat)|0.4 g
AP017|Karbohidrat (CHO)|35.7 g
AP017|Serat (Fibre)|0.2 g
AP017|Abu (ASH)|0.2 g
AP017|Kalsium (Ca)|4 mg
AP017|Fosfor (P)|55 mg
AP017|Besi (Fe)|0.7 mg
AP017|Natrium (Na)|8 mg
AP017|Kalium (K)|16.8 mg
AP017|Tembaga (Cu)|0.10 mg
AP017|Seng (Zn)|0.7 mg
AP017|Retinol (Vit. A)|0 mcg
AP017|Beta-Karoten (Carotenes)|0 mcg
AP017|Karoten Total (Re)|0 mcg
AP017|Thiamin (Vit. B1)|0.07 mg
AP017|Riboflavin (Vit. B2)|0.00 mg
AP017|Niasin (Niacin)|0.5 mg
AP017|Vitamin C (Vit. C)|0 mg
AP018|Air (Water)|58.9 g
AP018|Energi (Energy)|172 Kal
AP018|Protein (Protein)|3.0 g
AP018|Lemak (Fat)|0.5 g
AP018|Karbohidrat (CHO)|37.5 g
AP018|Serat (Fibre)|0.6 g
AP018|Abu (ASH)|0.1 g
AP018|Kalsium (Ca)|6 mg
AP018|Fosfor (P)|35 mg
AP018|Besi (Fe)|0.5 mg
AP018|Natrium (Na)|1 mg
AP018|Retinol (Vit. A)|0 mcg
AP018|Beta-Karoten (Carotenes)|0 mcg
AP018|Karoten Total (Re)|0 mcg
AP018|Thiamin (Vit. B1)|0.04 mg
AP018|Riboflavin (Vit. B2)|0.00 mg
AP018|Niasin (Niacin)|0.2 mg
AP018|Vitamin C (Vit. C)|0 mg
AP019|Air (Water)|14.0 g
AP019|Energi (Energy)|341 Kal
AP019|Protein (Protein)|0.3 g
AP019|Lemak (Fat)|0.0 g
AP019|Karbohidrat (CHO)|85.0 g
AP019|Serat (Fibre)|7.0 g
AP019|Abu (ASH)|0.7 g
AP019|Kalsium (Ca)|20 mg
AP019|Fosfor (P)|30 mg
AP019|Besi (Fe)|1.5 mg
AP019|Natrium (Na)|6 mg
AP019|Kalium (K)|9.0 mg
AP019|Tembaga (Cu)|0.22 mg
AP019|Seng (Zn)|1.6 mg
AP019|Retinol (Vit. A)|0 mcg
AP019|Beta-Karoten (Carotenes)|0 mcg
AP019|Karoten Total (Re)|0 mcg
AP019|Thiamin (Vit. B1)|0.00 mg
AP019|Riboflavin (Vit. B2)|0.09 mg
AP019|Niasin (Niacin)|1.3 mg
AP019|Vitamin C (Vit. C)|0 mg
AP020|Air (Water)|11.7 g
AP020|Energi (Energy)|353 Kal
AP020|Protein (Protein)|8.7 g
AP020|Lemak (Fat)|0.4 g
AP020|Karbohidrat (CHO)|78.7 g
AP020|Serat (Fibre)|4.9 g
AP020|Abu (ASH)|2.5 g
AP020|Kalsium (Ca)|20 mg
AP020|Fosfor (P)|80 mg
AP020|Besi (Fe)|0.3 mg
AP020|Natrium (Na)|5 mg
AP020|Kalium (K)|0.0 mg
AP020|Tembaga (Cu)|0.28 mg
AP020|Seng (Zn)|1.4 mg
AP020|Karoten Total (Re)|0 mcg
AP020|Thiamin (Vit. B1)|0.10 mg
AP020|Riboflavin (Vit. B2)|0.13 mg
AP020|Niasin (Niacin)|2.2 mg
AP020|Vitamin C (Vit. C)|0 mg
AP021|Air (Water)|80.0 g
AP021|Energi (Energy)|88 Kal
AP021|Protein (Protein)|0.6 g
AP021|Lemak (Fat)|3.3 g
AP021|Karbohidrat (CHO)|14.0 g
AP021|Serat (Fibre)|0.1 g
AP021|Abu (ASH)|2.1 g
AP021|Kalsium (Ca)|14 mg
AP021|Fosfor (P)|13 mg
AP021|Besi (Fe)|6.8 mg
AP021|Natrium (Na)|63 mg
AP021|Kalium (K)|13.5 mg
AP021|Tembaga (Cu)|0.06 mg
AP021|Seng (Zn)|0.4 mg
AP021|Beta-Karoten (Carotenes)|0 mcg
AP021|Thiamin (Vit. B1)|0.00 mg
AP021|Riboflavin (Vit. B2)|0.00 mg
AP021|Niasin (Niacin)|0.0 mg
AP021|Vitamin C (Vit. C)|0 mg
AP022|Air (Water)|10.6 g
AP022|Energi (Energy)|339 Kal
AP022|Protein (Protein)|10.0 g
AP022|Lemak (Fat)|1.7 g
AP022|Karbohidrat (CHO)|6.3 g
AP022|Serat (Fibre)|0.4 g
AP022|Abu (ASH)|1.4 g
AP022|Kalsium (Ca)|31 mg
AP022|Fosfor (P)|143 mg
AP022|Besi (Fe)|3.9 mg
AP022|Natrium (Na)|760 mg
AP022|Kalium (K)|83.0 mg
AP022|Tembaga (Cu)|0.29 mg
AP022|Seng (Zn)|1.9 mg
AP022|Karoten Total (Re)|0 mcg
AP022|Thiamin (Vit. B1)|0.00 mg
AP022|Riboflavin (Vit. B2)|0.08 mg
AP022|Niasin (Niacin)|2.2 mg
AP022|Vitamin C (Vit. C)|0 mg
AP023|Air (Water)|10.0 g
AP023|Energi (Energy)|345 Kal
AP023|Protein (Protein)|8.5 g
AP023|Lemak (Fat)|2.2 g
AP023|Karbohidrat (CHO)|78.0 g
AP023|Serat (Fibre)|0.5 g
AP023|Abu (ASH)|1.3 g
AP023|Kalsium (Ca)|52 mg
AP023|Fosfor (P)|120 mg
AP023|Besi (Fe)|8.7 mg
AP023|Natrium (Na)|3,064 mg
AP023|Kalium (K)|44.0 mg
AP023|Tembaga (Cu)|0.08 mg
AP023|Seng (Zn)|0.0 mg
AP023|Retinol (Vit. A)|0 mcg
AP023|Beta-Karoten (Carotenes)|0 mcg
AP023|Karoten Total (Re)|0 mcg
AP023|Thiamin (Vit. B1)|0.00 mg
AP023|Riboflavin (Vit. B2)|0.02 mg
AP023|Niasin (Niacin)|0.2 mg
AP023|Vitamin C (Vit. C)|0 mg
AP024|Air (Water)|40.0 g
AP024|Energi (Energy)|248 Kal
AP024|Protein (Protein)|8.0 g
AP024|Lemak (Fat)|1.2 g
AP024|Karbohidrat (CHO)|50.0 g
AP024|Serat (Fibre)|9.1 g
AP024|Abu (ASH)|0.8 g
AP024|Kalsium (Ca)|10 mg
AP024|Fosfor (P)|95 mg
AP024|Besi (Fe)|1.5 mg
AP024|Natrium (Na)|530 mg
AP024|Kalium (K)|91.0 mg
AP024|Tembaga (Cu)|0.15 mg
AP024|Seng (Zn)|0.9 mg
AP024|Retinol (Vit. A)|0 mcg
AP024|Beta-Karoten (Carotenes)|0 mcg
AP024|Karoten Total (Re)|0 mcg
AP024|Thiamin (Vit. B1)|0.10 mg
AP024|Riboflavin (Vit. B2)|0.29 mg
AP024|Niasin (Niacin)|2.4 mg
AP024|Vitamin C (Vit. C)|0 mg
AP025|Air (Water)|11.8 g
AP025|Energi (Energy)|333 Kal
AP025|Protein (Protein)|9.0 g
AP025|Lemak (Fat)|1.0 g
AP025|Karbohidrat (CHO)|77.2 g
AP025|Serat (Fibre)|0.3 g
AP025|Abu (ASH)|1.0 g
AP025|Kalsium (Ca)|22 mg
AP025|Fosfor (P)|150 mg
AP025|Besi (Fe)|1.3 mg
AP025|Natrium (Na)|2 mg
AP025|Kalium (K)|0.0 mg
AP025|Tembaga (Cu)|0.00 mg
AP025|Seng (Zn)|2.8 mg
AP025|Retinol (Vit. A)|0 mcg
AP025|Beta-Karoten (Carotenes)|0 mcg
AP025|Karoten Total (Re)|0 mcg
AP025|Thiamin (Vit. B1)|0.10 mg
AP025|Riboflavin (Vit. B2)|0.07 mg
AP025|Niasin (Niacin)|1.0 mg
AP025|Vitamin C (Vit. C)|0 mg
AP026|Air (Water)|58.4 g
AP026|Energi (Energy)|191 Kal
AP026|Protein (Protein)|1.3 g
AP026|Lemak (Fat)|5.5 g
AP026|Karbohidrat (CHO)|34.0 g
AP026|Abu (ASH)|0.8 g
AP027|Air (Water)|49.5 g
AP027|Energi (Energy)|202 Kal
AP027|Protein (Protein)|3.0 g
AP027|Lemak (Fat)|0.3 g
AP027|Karbohidrat (CHO)|46.7 g
AP027|Abu (ASH)|0.5 g
AP028|Air (Water)|63.1 g
AP028|Energi (Energy)|148 Kal
AP028|Protein (Protein)|2.0 g
AP028|Lemak (Fat)|0.5 g
AP028|Karbohidrat (CHO)|33.9 g
AP028|Abu (ASH)|0.5 g
AP029|Air (Water)|2.2 g
AP029|Energi (Energy)|458 Kal
AP029|Protein (Protein)|6.9 g
AP029|Lemak (Fat)|14.4 g
AP029|Karbohidrat (CHO)|75.1 g
AP029|Serat (Fibre)|2.1 g
AP029|Abu (ASH)|1.4 g
AP029|Kalsium (Ca)|62 mg
AP029|Fosfor (P)|87 mg
AP029|Besi (Fe)|2.7 mg
AP029|Natrium (Na)|241 mg
AP029|Kalium (K)|20.3 mg
AP029|Tembaga (Cu)|0.16 mg
AP029|Seng (Zn)|0.6 mg
AP029|Retinol (Vit. A)|0 mcg
AP029|Beta-Karoten (Carotenes)|14 mcg
AP029|Thiamin (Vit. B1)|0.09 mg
AP029|Riboflavin (Vit. B2)|0.15 mg
AP029|Niasin (Niacin)|1.4 mg
AP029|Vitamin C (Vit. C)|0 mg
AP030|Air (Water)|38.9 g
AP030|Energi (Energy)|272 Kal
AP030|Protein (Protein)|8.7 g
AP030|Lemak (Fat)|6.7 g
AP030|Karbohidrat (CHO)|44.1 g
AP030|Serat (Fibre)|0.9 g
AP030|Abu (ASH)|1.6 g
AP030|Kalsium (Ca)|194 mg
AP030|Fosfor (P)|117 mg
AP030|Besi (Fe)|4.5 mg
AP030|Karoten Total (Re)|1,392 mcg
AP030|Thiamin (Vit. B1)|0.31 mg
AP030|Riboflavin (Vit. B2)|1.00 mg
AP030|Niasin (Niacin)|2.9 mg
AP030|Vitamin C (Vit. C)|0 mg
AP031|Air (Water)|40.5 g
AP031|Energi (Energy)|280 Kal
AP031|Protein (Protein)|8.2 g
AP031|Lemak (Fat)|10.2 g
AP031|Karbohidrat (CHO)|39.0 g
AP031|Serat (Fibre)|3.4 g
AP031|Abu (ASH)|2.1 g
AP031|Kalsium (Ca)|204 mg
AP031|Fosfor (P)|79 mg
AP031|Besi (Fe)|7.0 mg
AP031|Retinol (Vit. A)|0 mcg
AP031|Karoten Total (Re)|0 mcg
AP031|Thiamin (Vit. B1)|0.08 mg
AP031|Vitamin C (Vit. C)|0 mg
AP032|Air (Water)|52.3 g
AP032|Energi (Energy)|190 Kal
AP032|Protein (Protein)|3.3 g
AP032|Lemak (Fat)|0.3 g
AP032|Karbohidrat (CHO)|43.5 g
AP032|Serat (Fibre)|3.4 g
AP032|Abu (ASH)|0.6 g
AP032|Kalsium (Ca)|9 mg
AP032|Fosfor (P)|0 mg
AP032|Besi (Fe)|0.4 mg
AP032|Natrium (Na)|164 mg
AP032|Kalium (K)|84.0 mg
AP032|Tembaga (Cu)|0.20 mg
AP032|Seng (Zn)|0.9 mg
AP032|Thiamin (Vit. B1)|0.27 mg
AP032|Riboflavin (Vit. B2)|0.02 mg
AP032|Niasin (Niacin)|3.6 mg
AP033|Air (Water)|5.3 g
AP033|Energi (Energy)|417 Kal
AP033|Protein (Protein)|6.5 g
AP033|Lemak (Fat)|8.2 g
AP033|Karbohidrat (CHO)|79.3 g
AP033|Abu (ASH)|0.7 g
AP034|Air (Water)|75.3 g
AP034|Energi (Energy)|107 Kal
AP034|Protein (Protein)|2.2 g
AP034|Lemak (Fat)|2.2 g
AP034|Karbohidrat (CHO)|19.6 g
AP034|Abu (ASH)|0.7 g
AP034|Kalsium (Ca)|20 mg
AP034|Fosfor (P)|30 mg
AP034|Besi (Fe)|0.6 mg
AP034|Natrium (Na)|200 mg
AP034|Kalium (K)|90.0 mg
AP034|Tembaga (Cu)|0.10 mg
AP034|Thiamin (Vit. B1)|0.18 mg
AP034|Riboflavin (Vit. B2)|0.02 mg
AP035|Air (Water)|51.5 g
AP035|Energi (Energy)|199 Kal
AP035|Protein (Protein)|2.1 g
AP035|Lemak (Fat)|1.5 g
AP035|Karbohidrat (CHO)|44.4 g
AP035|Serat (Fibre)|0.3 g
AP035|Abu (ASH)|0.6 g
AP035|Kalsium (Ca)|45 mg
AP035|Fosfor (P)|28 mg
AP035|Besi (Fe)|1.8 mg
AP035|Retinol (Vit. A)|0 mcg
AP035|Karoten Total (Re)|408 mcg
AP035|Thiamin (Vit. B1)|0.10 mg
AP035|Niasin (Niacin)|0.0 mg
AP035|Vitamin C (Vit. C)|0 mg
AP036|Air (Water)|44.4 g
AP036|Energi (Energy)|273 Kal
AP036|Protein (Protein)|5.3 g
AP036|Lemak (Fat)|10.6 g
AP036|Karbohidrat (CHO)|39.1 g
AP036|Abu (ASH)|0.6 g
AP037|Air (Water)|46.3 g
AP037|Energi (Energy)|225 Kal
AP037|Protein (Protein)|5.3 g
AP037|Lemak (Fat)|2.6 g
AP037|Karbohidrat (CHO)|45.2 g
AP037|Abu (ASH)|0.6 g
AP038|Air (Water)|55.6 g
AP038|Energi (Energy)|197 Kal
AP038|Protein (Protein)|3.3 g
AP038|Lemak (Fat)|4.6 g
AP038|Karbohidrat (CHO)|35.6 g
AP038|Abu (ASH)|0.9 g
AP038|Fosfor (P)|0 mg
AP038|Besi (Fe)|0.0 mg
AP038|Natrium (Na)|0 mg
AP038|Kalium (K)|0.0 mg
AP038|Riboflavin (Vit. B2)|0.00 mg
AP038|Niasin (Niacin)|0.0 mg
AP038|Vitamin C (Vit. C)|0 mg
AP039|Air (Water)|37.4 g
AP039|Energi (Energy)|249 Kal
AP039|Protein (Protein)|3.4 g
AP039|Lemak (Fat)|0.4 g
AP039|Karbohidrat (CHO)|58.0 g
AP039|Serat (Fibre)|0.0 g
AP039|Abu (ASH)|0.9 g
AP039|Kalsium (Ca)|198 mg
AP039|Fosfor (P)|86 mg
AP039|Besi (Fe)|2.0 mg
AP039|Retinol (Vit. A)|0 mcg
AP039|Karoten Total (Re)|240 mcg
AP039|Thiamin (Vit. B1)|0.34 mg
AP039|Riboflavin (Vit. B2)|0.00 mg
AP039|Niasin (Niacin)|0.0 mg
AP039|Vitamin C (Vit. C)|0 mg
AP040|Air (Water)|80.9 g
AP040|Energi (Energy)|156 Kal
AP040|Protein (Protein)|2.3 g
AP040|Lemak (Fat)|0.2 g
AP040|Karbohidrat (CHO)|15.6 g
AP040|Serat (Fibre)|8.2 g
AP040|Abu (ASH)|1.0 g
AP040|Kalsium (Ca)|41 mg
AP040|Fosfor (P)|20 mg
AP040|Besi (Fe)|0.4 mg
AP040|Natrium (Na)|486 mg
AP040|Kalium (K)|164.0 mg
AP040|Tembaga (Cu)|0.30 mg
AP040|Seng (Zn)|0.4 mg
AP040|Beta-Karoten (Carotenes)|1,437 mcg
AP040|Thiamin (Vit. B1)|0.10 mg
AP040|Riboflavin (Vit. B2)|0.04 mg
AP040|Vitamin C (Vit. C)|15 mg
AP041|Air (Water)|32.2 g
AP041|Energi (Energy)|323 Kal
AP041|Protein (Protein)|4.9 g
AP041|Lemak (Fat)|11.5 g
AP041|Karbohidrat (CHO)|50.1 g
AP041|Serat (Fibre)|1.4 g
AP041|Abu (ASH)|1.4 g
AP041|Kalsium (Ca)|131 mg
AP041|Fosfor (P)|83 mg
